"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2023","1,256.92","1,214.57","1,266.97","1,212.91","504.28K","3.49%"
"01/03/2023","1,214.57","1,213.93","1,219.75","1,206.83","219.98K","0.05%"
"01/02/2023","1,213.93","1,200.52","1,220.76","1,193.77","270.72K","1.12%"
"01/01/2023","1,200.52","1,195.69","1,204.12","1,191.67","126.62K","0.41%"
"12/31/2022","1,195.67","1,200.00","1,207.71","1,193.16","150.20K","-0.34%"
"12/30/2022","1,199.80","1,200.84","1,202.13","1,186.10","285.77K","-0.09%"
"12/29/2022","1,200.84","1,189.99","1,205.34","1,187.19","272.59K","0.91%"
"12/28/2022","1,189.98","1,211.60","1,214.32","1,184.22","407.45K","-1.78%"
"12/27/2022","1,211.60","1,228.22","1,233.15","1,202.02","290.02K","-1.31%"
"12/26/2022","1,227.65","1,218.69","1,230.37","1,213.08","177.66K","0.73%"
"12/25/2022","1,218.69","1,220.46","1,223.82","1,201.20","256.52K","-0.15%"
"12/24/2022","1,220.46","1,220.03","1,226.20","1,214.76","131.51K","0.04%"
"12/23/2022","1,220.03","1,217.59","1,228.46","1,212.97","301.17K","0.20%"
"12/22/2022","1,217.57","1,213.99","1,229.47","1,185.27","383.63K","0.31%"
"12/21/2022","1,213.85","1,217.19","1,218.69","1,205.48","269.18K","-0.28%"
"12/20/2022","1,217.20","1,167.80","1,228.97","1,163.57","497.61K","4.23%"
"12/19/2022","1,167.80","1,182.70","1,194.47","1,152.54","337.02K","-1.26%"
"12/18/2022","1,182.70","1,187.19","1,196.55","1,172.82","272.63K","-0.38%"
"12/17/2022","1,187.18","1,166.70","1,189.21","1,162.76","363.23K","1.75%"
"12/16/2022","1,166.70","1,266.32","1,279.27","1,156.91","829.23K","-7.87%"
"12/15/2022","1,266.32","1,307.29","1,311.07","1,260.89","446.34K","-3.13%"
"12/14/2022","1,307.30","1,320.76","1,348.43","1,302.76","614.31K","-1.02%"
"12/13/2022","1,320.76","1,275.49","1,345.07","1,255.82","717.71K","3.59%"
"12/12/2022","1,275.02","1,263.42","1,278.37","1,241.45","395.62K","0.92%"
"12/11/2022","1,263.42","1,266.36","1,282.86","1,258.53","192.46K","-0.25%"
"12/10/2022","1,266.62","1,262.88","1,281.24","1,260.05","193.32K","0.30%"
"12/09/2022","1,262.86","1,280.29","1,291.11","1,257.00","437.55K","-1.36%"
"12/08/2022","1,280.29","1,231.04","1,289.87","1,223.27","447.07K","4.00%"
"12/07/2022","1,231.04","1,271.24","1,275.30","1,221.10","422.12K","-3.16%"
"12/06/2022","1,271.26","1,259.56","1,273.92","1,243.66","342.16K","0.93%"
"12/05/2022","1,259.56","1,279.21","1,303.92","1,248.69","430.54K","-1.58%"
"12/04/2022","1,279.74","1,240.46","1,284.24","1,240.14","344.96K","3.17%"
"12/03/2022","1,240.46","1,295.69","1,302.61","1,237.81","373.79K","-4.26%"
"12/02/2022","1,295.69","1,276.05","1,295.80","1,266.16","393.37K","1.54%"
"12/01/2022","1,276.05","1,294.40","1,295.82","1,263.58","453.59K","-1.42%"
"11/30/2022","1,294.41","1,216.54","1,304.97","1,213.44","858.51K","6.40%"
"11/29/2022","1,216.55","1,167.73","1,226.35","1,159.72","549.93K","4.18%"
"11/28/2022","1,167.73","1,193.38","1,199.06","1,151.98","518.17K","-2.15%"
"11/27/2022","1,193.38","1,205.17","1,222.83","1,191.09","306.64K","-0.98%"
"11/26/2022","1,205.15","1,198.12","1,229.20","1,196.93","413.09K","0.59%"
"11/25/2022","1,198.12","1,203.77","1,204.75","1,172.63","426.96K","-0.47%"
"11/24/2022","1,203.77","1,185.70","1,217.38","1,180.91","544.83K","1.52%"
"11/23/2022","1,185.79","1,139.74","1,189.17","1,128.53","688.96K","4.04%"
"11/22/2022","1,139.74","1,107.46","1,141.58","1,077.85","815.18K","2.91%"
"11/21/2022","1,107.46","1,142.88","1,143.96","1,081.96","981.81K","-3.10%"
"11/20/2022","1,142.88","1,217.65","1,226.14","1,135.57","564.89K","-6.14%"
"11/19/2022","1,217.65","1,208.92","1,231.15","1,207.34","225.46K","0.86%"
"11/18/2022","1,207.31","1,206.99","1,225.39","1,201.47","388.69K","0.18%"
"11/17/2022","1,205.17","1,206.16","1,227.73","1,185.58","567.61K","-0.08%"
"11/16/2022","1,206.16","1,253.45","1,267.62","1,188.76","705.31K","-3.77%"
"11/15/2022","1,253.45","1,242.64","1,289.21","1,235.39","686.18K","0.87%"
"11/14/2022","1,242.64","1,221.47","1,289.01","1,175.42","1.01M","1.73%"
"11/13/2022","1,221.47","1,256.29","1,274.24","1,205.61","597.25K","-2.77%"
"11/12/2022","1,256.29","1,288.71","1,291.39","1,239.34","602.58K","-2.51%"
"11/11/2022","1,288.63","1,299.21","1,307.16","1,203.04","1.45M","-0.81%"
"11/10/2022","1,299.15","1,100.86","1,346.92","1,089.01","2.19M","18.01%"
"11/09/2022","1,100.84","1,335.26","1,337.19","1,076.29","2.92M","-17.56%"
"11/08/2022","1,335.25","1,567.54","1,576.10","1,241.18","2.87M","-14.82%"
"11/07/2022","1,567.57","1,570.71","1,608.06","1,547.29","719.30K","-0.21%"
"11/06/2022","1,570.86","1,626.86","1,637.44","1,565.79","464.26K","-3.45%"
"11/05/2022","1,627.07","1,645.03","1,664.42","1,623.48","404.02K","-1.09%"
"11/04/2022","1,645.01","1,531.06","1,666.17","1,528.60","1.07M","7.44%"
"11/03/2022","1,531.08","1,518.99","1,558.75","1,515.75","631.90K","0.79%"
"11/02/2022","1,519.04","1,579.59","1,618.82","1,503.29","1.14M","-3.84%"
"11/01/2022","1,579.64","1,572.89","1,609.10","1,564.69","593.31K","0.43%"
"10/31/2022","1,572.89","1,590.47","1,634.17","1,550.72","938.65K","-1.11%"
"10/30/2022","1,590.47","1,619.67","1,638.60","1,577.35","542.49K","-1.80%"
"10/29/2022","1,619.69","1,554.47","1,660.13","1,548.83","1.05M","4.20%"
"10/28/2022","1,554.47","1,514.14","1,572.66","1,489.99","966.35K","2.66%"
"10/27/2022","1,514.19","1,566.18","1,575.90","1,508.24","1.02M","-3.32%"
"10/26/2022","1,566.16","1,459.60","1,590.23","1,458.61","1.43M","7.30%"
"10/25/2022","1,459.60","1,343.88","1,522.06","1,335.38","1.28M","8.61%"
"10/24/2022","1,343.88","1,364.19","1,369.35","1,324.25","665.58K","-1.47%"
"10/23/2022","1,363.92","1,313.64","1,370.91","1,301.80","473.61K","3.83%"
"10/22/2022","1,313.64","1,299.76","1,318.84","1,294.61","244.20K","1.07%"
"10/21/2022","1,299.76","1,282.87","1,306.27","1,257.83","525.54K","1.32%"
"10/20/2022","1,282.87","1,285.33","1,310.47","1,272.79","483.19K","-0.19%"
"10/19/2022","1,285.32","1,310.81","1,313.46","1,282.44","406.74K","-1.94%"
"10/18/2022","1,310.81","1,331.40","1,341.21","1,287.58","625.85K","-1.53%"
"10/17/2022","1,331.12","1,305.95","1,338.39","1,296.45","498.15K","1.93%"
"10/16/2022","1,305.95","1,274.93","1,314.52","1,274.66","333.15K","2.46%"
"10/15/2022","1,274.57","1,296.74","1,301.48","1,264.86","321.11K","-1.71%"
"10/14/2022","1,296.74","1,287.33","1,342.01","1,284.08","734.03K","0.73%"
"10/13/2022","1,287.34","1,294.56","1,299.74","1,196.63","1.09M","-0.56%"
"10/12/2022","1,294.57","1,279.97","1,304.45","1,275.77","418.57K","1.14%"
