"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2023","0.2681","0.2552","0.2723","0.2533","95.67M","5.15%"
"05/27/2023","0.2550","0.2451","0.2632","0.2417","103.48M","4.03%"
"05/26/2023","0.2451","0.2371","0.2499","0.2315","92.04M","3.38%"
"05/25/2023","0.2371","0.2316","0.2464","0.2234","110.78M","2.41%"
"05/24/2023","0.2315","0.2451","0.2453","0.2224","74.73M","-5.52%"
"05/23/2023","0.2451","0.2394","0.2485","0.2369","56.38M","2.37%"
"05/22/2023","0.2394","0.2430","0.2450","0.2345","58.52M","-1.47%"
"05/21/2023","0.2430","0.2587","0.2588","0.2416","66.99M","-6.08%"
"05/20/2023","0.2587","0.2650","0.2666","0.2544","82.56M","-2.37%"
"05/19/2023","0.2650","0.2469","0.2839","0.2421","187.57M","7.37%"
"05/18/2023","0.2468","0.2569","0.2583","0.2417","51.58M","-3.84%"
"05/17/2023","0.2567","0.2446","0.2602","0.2366","58.55M","4.93%"
"05/16/2023","0.2446","0.2465","0.2489","0.2392","49.36M","-0.78%"
"05/15/2023","0.2465","0.2414","0.2531","0.2351","55.39M","2.15%"
"05/14/2023","0.2413","0.2380","0.2474","0.2328","36.56M","1.43%"
"05/13/2023","0.2379","0.2453","0.2460","0.2368","39.71M","-3.01%"
"05/12/2023","0.2453","0.2414","0.2462","0.2290","65.04M","1.64%"
"05/11/2023","0.2414","0.2626","0.2628","0.2333","63.86M","-8.08%"
"05/10/2023","0.2626","0.2632","0.2729","0.2476","85.92M","-0.32%"
"05/09/2023","0.2634","0.2597","0.2648","0.2475","62.88M","1.43%"
"05/08/2023","0.2597","0.2896","0.2927","0.2448","77.16M","-10.32%"
"05/07/2023","0.2896","0.2879","0.2982","0.2869","37.88M","0.58%"
"05/06/2023","0.2879","0.3104","0.3136","0.2780","65.18M","-7.24%"
"05/05/2023","0.3104","0.3100","0.3135","0.2997","42.76M","0.05%"
"05/04/2023","0.3102","0.3250","0.3258","0.3071","35.80M","-4.56%"
"05/03/2023","0.3250","0.3188","0.3285","0.2990","62.79M","1.94%"
"05/02/2023","0.3189","0.3183","0.3209","0.3115","34.49M","0.16%"
"05/01/2023","0.3183","0.3278","0.3303","0.3134","46.78M","-2.83%"
"04/30/2023","0.3276","0.3410","0.3410","0.3272","39.28M","-3.91%"
"04/29/2023","0.3410","0.3329","0.3447","0.3316","38.37M","2.41%"
"04/28/2023","0.3329","0.3440","0.3473","0.3302","43.69M","-3.21%"
"04/27/2023","0.3440","0.3341","0.3476","0.3303","65.88M","2.95%"
"04/26/2023","0.3341","0.3449","0.3631","0.3143","99.25M","-3.11%"
"04/25/2023","0.3448","0.3318","0.3474","0.3190","52.11M","3.92%"
"04/24/2023","0.3318","0.3354","0.3444","0.3259","45.10M","-1.04%"
"04/23/2023","0.3353","0.3481","0.3481","0.3246","45.77M","-3.65%"
"04/22/2023","0.3481","0.3333","0.3481","0.3298","38.49M","4.28%"
"04/21/2023","0.3338","0.3640","0.3668","0.3301","76.92M","-8.31%"
"04/20/2023","0.3640","0.3731","0.3809","0.3516","86.42M","-2.43%"
"04/19/2023","0.3731","0.4245","0.4279","0.3652","105.75M","-12.03%"
"04/18/2023","0.4241","0.4270","0.4433","0.4130","101.44M","-0.67%"
"04/17/2023","0.4270","0.4051","0.4478","0.3921","164.42M","5.38%"
"04/16/2023","0.4052","0.4071","0.4120","0.3952","82.34M","-0.50%"
"04/15/2023","0.4072","0.4050","0.4248","0.3919","142.96M","0.55%"
"04/14/2023","0.4050","0.3611","0.4136","0.3604","202.40M","12.13%"
"04/13/2023","0.3612","0.3416","0.3642","0.3379","75.36M","5.72%"
"04/12/2023","0.3416","0.3523","0.3538","0.3334","65.76M","-3.03%"
"04/11/2023","0.3523","0.3555","0.3640","0.3506","68.51M","-0.91%"
"04/10/2023","0.3555","0.3440","0.3575","0.3366","60.89M","3.34%"
"04/09/2023","0.3440","0.3395","0.3515","0.3271","43.76M","1.34%"
